UHSLC_ID,LEV,LEVB,Date
003,1767.0,1855.0,2022-09-05 19:30:00
004,,447.0,
007,1644.0,1541.0,2023-07-04 08:30:00
008,1528.0,,2024-03-31 00:06:00
009,306.0,,
010,254.0,,
011,657.0,544.0,2024-04-05 23:51:00
013,939.0,1003.0,2019-01-01 00:00:00
014,244.0,,
015,1134.0,1254.0,2025-01-29 03:26:00
020,,400.0,
024,1178.0,1137.0,2023-12-01 20:00:00
025,363.0,,
027,,439.0,
030,1516.0,1375.0,2022-09-06 17:00:00
033,1425.0,1431.0,2023-11-25 23:30:00
034,677.0,684.0,
036,597.0,,
043,783.0,688.0,2025-12-03 01:00:00
050,325.0,,
052,822.0,938.0,2024-07-25 00:05:00
079,1979.0,1980.0,2015-09-01 00:00:00
082,1645.0,,2024-04-10 01:30:00
084,430.0,,
087,84.0,426.0,
091,2305.0,2480.0,2022-08-31 17:45:00
092,1616.0,,2019-06-24 13:30:00
093,1139.0,1204.0,2019-06-21 16:30:00
094,2087.0,1987.0,2022-05-06 15:25:00
101,3236.0,2660.0,2019-01-01 00:00:00
103,1611.0,1687.0,2025-03-01 00:00:00
105,1810.0,1853.0,2020-01-01 00:00:00
107,1952.0,,2024-12-14 07:00:00
108,1837.0,1786.0,2023-11-08 23:30:00
110,4353.0,,2019-01-01 00:00:00
113,1393.0,1230.0,2019-01-01 00:00:00
115,685.0,698.0,2019-01-01 00:00:00
118,0.0,,
121,1006.0,1120.0,2025-01-10 09:40:00
122,1835.0,1853.0,2020-07-01 00:00:00
124,4057.0,3985.0,2019-10-01 00:00:00
148,802.0,777.0,
149,2595.0,2605.0,2021-10-07 07:10:00
151,2227.0,2226.0,2023-03-22 15:10:00
162,3604.0,3457.0,2023-11-25 23:30:00
163,758.0,960.0,2023-11-26 23:30:00
211,1193.0,1108.0,2019-01-01 00:00:00
223,1069.0,1006.0,2023-04-03 11:45:00
235,1568.0,1652.0,2019-01-01 00:00:00
257,1173.0,1134.0,2024-02-23 14:30:00
268,465.0,533.0,2022-10-03 20:00:00
283,3261.0,3174.0,2024-08-28 17:00:00
286,4201.0,,2019-04-18 18:20:00
316,281.0,322.0,
381,,1505.0,2024-04-23 00:00:00
382,1454.0,1533.0,2019-01-01 00:00:00
383,2850.0,,2025-07-17 20:58:00
395,1282.0,1234.0,
419,2272.0,2396.0,2023-12-02 23:30:00
547,3647.0,3441.0,2022-09-08 23:00:00
548,610.0,573.0,
600,3443.0,3438.0,2019-04-15 14:30:00
654,1098.0,986.0,2025-08-15 05:00:00
655,1122.0,1099.0,2022-06-14 20:00:00
708,2057.0,2105.0,2025-05-02 00:00:00
729,,1082.0,
731,3959.0,3690.0,2019-04-23 19:20:00
737,455.0,383.0,2022-03-05 07:00:00
739,372.0,,2025-02-11 00:45:00
777,819.0,,2023-03-01 22:00:00
786,936.0,1003.0,2019-01-01 00:00:00
789,408.0,467.0,2019-01-01 00:00:00
799,1078.0,1012.0,2023-11-21 02:30:00
878,4016.0,4055.0,2019-09-01 00:00:00
901,555.0,658.0,
902,0.0,0.0,2015-09-01 00:00:00
903,447.0,527.0,
906,3321.0,3482.0,2019-01-01 00:00:00
907,3024.0,3515.0,2019-01-01 00:00:00
999,2057.0,2105.0,
